gender,orientation,gender_orientation,age,ethnicity,country,education_phase,religion_type,religion_seriosity,man_with_100,woman_with_100
Woman,Bisexual,Bisexual_female,26,"Hispanic / Latin, White",CA,Working on,Christianity,NA,Yes,Yes
Woman,Straight,Hetero_female,25,White,TX,Working on,-,NA,No,No
Woman,Straight,Hetero_female,28,Hispanic / Latin,CA,Graduated from,Catholicism,and somewhat serious about it,Yes,Yes
Man,Straight,Hetero_male,31,NA,KY,Graduated from,Christianity,NA,No,No
Man,Bisexual,Bisexual_male,26,White,New Zealand,Dropped out of,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,40,White,OR,NA,Atheism,NA,No,No
Man,Straight,Hetero_male,31,White,NC,Graduated from,Christianity,but not too serious about it,No,No
Woman,Straight,Hetero_female,51,White,WI,Graduated from,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,30,"Native American, White",TX,Graduated from,Other,and somewhat serious about it,No,No
Man,Straight,Hetero_male,36,NA,Sweden,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,27,White,UK,Working on,Atheism,NA,No,No
Woman,Straight,Hetero_female,29,Black,VA,Graduated from,Christianity,but not too serious about it,No,No
Woman,Straight,Hetero_female,38,Other,OR,Graduated from,Christianity,and very serious about it,No,No
Man,Straight,Hetero_male,28,White,TX,Graduated from,Agnosticism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,42,White,PA,Graduated from,Other,but not too serious about it,No,No
Woman,Straight,Hetero_female,33,White,WA,Graduated from,Other,and laughing about it,No,No
Man,Straight,Hetero_male,27,White,Australia,Working on,Agnosticism,and laughing about it,No,No
Man,Straight,Hetero_male,53,White,Alberta,NA,-,NA,No,No
Man,Gay,Gay_male,44,White,NY,Graduated from,Other,NA,No,No
Man,Straight,Hetero_male,39,White,NY,Graduated from,Catholicism,NA,Yes,Yes
Man,Straight,Hetero_male,41,White,NC,NA,Agnosticism,and laughing about it,No,No
Man,Gay,Gay_male,27,White,WA,Graduated from,Christianity,and somewhat serious about it,No,No
Man,Straight,Hetero_male,37,White,GA,Graduated from,Agnosticism,and laughing about it,No,No
Man,Straight,Hetero_male,43,White,British Columbia,NA,Other,but not too serious about it,No,No
Woman,Straight,Hetero_female,27,White,TX,Graduated from,Atheism,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,25,"Native American, White",WA,Graduated from,Other,and somewhat serious about it,No,No
Man,Straight,Hetero_male,30,White,KY,Graduated from,Agnosticism,and laughing about it,No,No
Woman,Straight,Hetero_female,28,White,NY,Graduated from,Atheism,but not too serious about it,No,No
Man,Gay,Gay_male,25,White,MI,Graduated from,Christianity,NA,No,No
Man,Gay,Gay_male,25,White,TX,Graduated from,Other,and laughing about it,No,No
